iter	Passed	Remaining
0	90	90040
1	169	84551
2	255	84773
3	339	84654
4	424	84467
5	529	87799
6	623	88442
7	710	88133
8	800	88164
9	901	89265
10	1005	90404
11	1083	89184
12	1192	90512
13	1275	89861
14	1379	90594
15	1478	90942
16	1628	94181
17	1744	95145
18	1867	96432
19	1994	97750
20	2080	97001
21	2216	98543
22	2318	98489
23	2424	98605
24	2528	98630
25	2619	98122
26	2725	98216
27	2810	97565
28	2901	97136
29	3003	97112
30	3096	96789
31	3187	96434
32	3288	96375
33	3388	96281
34	3477	95876
35	3570	95612
36	3668	95475
37	3759	95184
38	3849	94850
39	3963	95114
40	4060	94967
41	4166	95040
42	4264	94918
43	4364	94831
44	4468	94828
45	4581	95024
46	4718	95668
47	4818	95566
48	4907	95238
49	5002	95049
50	5120	95281
51	5225	95261
52	5336	95352
53	5423	95005
54	5520	94859
55	5632	94949
56	5730	94805
57	5821	94545
58	5932	94618
59	6026	94412
60	6107	94007
61	6185	93586
62	6265	93191
63	6360	93015
64	6443	92690
65	6536	92495
66	6624	92252
67	6706	91918
68	6791	91634
69	6871	91293
70	6963	91108
71	7060	91006
72	7162	90956
73	7249	90719
74	7351	90664
75	7445	90521
76	7527	90229
77	7611	89972
78	7692	89677
79	7769	89353
80	7860	89177
81	7947	88978
82	8034	88763
83	8125	88607
84	8217	88459
85	8307	88290
86	8400	88158
87	8496	88056
88	8594	87975
89	8692	87886
90	8778	87688
91	8888	87726
92	8977	87551
93	9062	87350
94	9143	87107
95	9227	86893
96	9329	86847
97	9428	86776
98	9518	86626
99	9612	86509
100	9698	86326
101	9804	86320
102	9906	86270
103	10002	86178
104	10090	86008
105	10183	85886
106	10266	85684
107	10370	85655
108	10460	85504
109	10559	85432
110	10638	85206
111	10727	85057
112	10820	84937
113	10917	84848
114	11007	84711
115	11090	84518
116	11183	84399
117	11282	84329
118	11367	84160
119	11447	83947
120	11549	83898
121	11633	83726
122	11760	83850
123	11871	83869
124	11976	83838
125	12070	83725
126	12168	83649
127	12255	83493
128	12359	83453
129	12458	83377
130	12553	83273
131	12647	83167
132	12742	83066
133	12830	82921
134	12914	82750
135	12999	82585
136	13098	82512
137	13188	82377
138	13274	82224
139	13365	82100
140	13449	81939
141	13547	81856
142	13636	81724
143	13744	81704
144	13838	81597
145	13928	81472
146	14037	81457
147	14123	81307
148	14217	81203
149	14320	81148
150	14415	81048
151	14537	81101
152	14626	80973
153	14717	80852
154	14805	80711
155	14893	80577
156	14989	80483
157	15089	80416
158	15201	80403
159	15311	80383
160	15405	80280
161	15502	80189
162	15611	80163
163	15704	80055
164	15788	79900
165	15882	79795
166	15963	79626
167	16049	79484
168	16149	79411
169	16235	79266
170	16319	79117
171	16416	79026
172	16501	78884
173	16586	78738
174	16674	78609
175	16760	78470
176	16869	78438
177	16958	78315
178	17034	78128
179	17122	78004
180	17209	77868
181	17317	77834
182	17412	77738
183	17508	77646
184	17601	77543
185	17683	77389
186	17772	77269
187	17870	77185
188	17956	77053
189	18056	76977
190	18177	76991
191	18271	76893
192	18364	76789
193	18458	76686
194	18547	76566
195	18635	76441
196	18726	76330
197	18815	76212
198	18918	76150
199	19002	76010
200	19080	75847
201	19187	75801
202	19263	75632
203	19346	75490
204	19430	75353
205	19526	75262
206	19606	75112
207	19686	74958
208	19762	74795
209	19845	74655
210	19925	74507
211	20002	74349
212	20086	74216
213	20171	74086
214	20277	74035
215	20357	73891
216	20443	73765
217	20527	73636
218	20614	73517
219	20696	73376
220	20789	73279
221	20877	73164
222	20960	73032
223	21044	72903
224	21123	72757
225	21205	72624
226	21292	72506
227	21382	72401
228	21499	72383
229	21573	72225
230	21652	72079
231	21733	71944
232	21838	71890
233	21929	71787
234	22010	71651
235	22091	71515
236	22168	71370
237	22265	71285
238	22350	71167
239	22454	71106
240	22529	70952
241	22607	70811
242	22689	70684
243	22777	70573
244	22870	70476
245	22985	70450
246	23079	70358
247	23196	70337
248	23279	70212
249	23361	70083
250	23472	70043
251	23563	69943
252	23646	69817
253	23756	69771
254	23836	69638
255	23929	69545
256	24021	69446
257	24121	69371
258	24206	69254
259	24309	69188
260	24408	69110
261	24497	69005
262	24621	68995
263	24740	68973
264	24845	68911
265	24946	68836
266	25036	68732
267	25119	68608
268	25197	68474
269	25301	68409
270	25455	68477
271	25669	68702
272	25870	68893
273	26068	69070
274	26273	69265
275	26402	69259
276	26527	69239
277	26607	69103
278	26709	69022
279	26839	69014
280	27000	69085
281	27218	69300
282	27406	69436
283	27621	69638
284	27830	69819
285	28047	70019
286	28252	70188
287	28443	70318
288	28654	70495
289	28889	70729
290	29109	70923
291	29321	71094
292	29547	71298
293	29778	71508
294	30007	71713
295	30196	71819
296	30404	71966
297	30633	72164
298	30837	72298
299	31031	72406
300	31232	72529
301	31449	72687
302	31649	72805
303	31871	72968
304	32064	73064
305	32278	73207
306	32474	73305
307	32732	73541
308	32938	73659
309	33139	73762
310	33337	73857
311	33539	73959
312	33731	74036
313	33926	74119
314	34132	74224
315	34314	74276
316	34519	74373
317	34709	74440
318	34898	74501
319	35088	74562
320	35279	74625
321	35481	74709
322	35751	74935
323	35964	75037
324	36156	75093
325	36352	75157
326	36544	75211
327	36759	75311
328	36970	75401
329	37160	75447
330	37362	75515
331	37589	75632
332	37793	75701
333	37993	75758
334	38198	75827
335	38394	75875
336	38597	75934
337	38801	75996
338	38999	76043
339	39213	76119
340	39400	76144
341	39632	76251
342	39830	76292
343	40052	76379
344	40257	76431
345	40459	76474
346	40640	76479
347	40850	76535
348	41057	76585
349	41248	76604
350	41455	76650
351	41644	76663
352	41876	76754
353	42089	76806
354	42296	76848
355	42498	76879
356	42690	76890
357	42885	76906
358	43092	76942
359	43280	76943
360	43478	76959
361	43678	76980
362	44012	77234
363	44257	77329
364	44465	77357
365	44655	77354
366	44871	77394
367	45078	77416
368	45275	77422
369	45455	77396
370	45637	77374
371	45841	77387
372	46039	77390
373	46245	77406
374	46451	77418
375	46644	77409
376	46833	77393
377	47029	77386
378	47209	77353
379	47417	77364
380	47629	77382
381	47819	77362
382	48024	77365
383	48208	77333
384	48401	77316
385	48584	77281
386	48780	77266
387	48981	77259
388	49177	77243
389	49388	77249
390	49578	77220
391	49770	77195
392	49972	77184
393	50165	77158
394	50373	77153
395	50563	77121
396	50769	77114
397	50972	77099
398	51179	77090
399	51393	77090
400	51583	77054
401	51776	77020
402	51986	77012
403	52179	76977
404	52384	76960
405	52577	76924
406	52809	76943
407	52998	76900
408	53251	76947
409	53615	77153
410	53844	77163
411	54083	77187
412	54327	77216
413	54556	77221
414	54760	77191
415	54979	77182
416	55184	77152
417	55465	77226
418	55652	77169
419	55855	77134
420	56055	77093
421	56246	77038
422	56495	77063
423	56701	77028
424	56896	76977
425	57103	76942
426	57307	76902
427	57505	76852
428	57727	76834
429	57943	76809
430	58139	76754
431	58360	76732
432	58565	76689
433	58750	76619
434	58951	76569
435	59143	76507
436	59339	76448
437	59534	76389
438	59722	76319
439	59910	76249
440	60124	76211
441	60317	76147
442	60521	76096
443	60738	76059
444	60920	75979
445	61099	75894
446	61282	75814
447	61461	75729
448	61648	75653
449	61856	75602
450	62058	75543
451	62269	75495
452	62462	75423
453	62658	75356
454	62864	75299
455	63061	75231
456	63247	75149
457	63456	75095
458	63659	75032
459	63876	74985
460	64073	74914
461	64269	74842
462	64464	74767
463	64667	74701
464	64862	74626
465	65060	74553
466	65264	74487
467	65452	74403
468	65651	74330
469	65852	74259
470	66056	74191
471	66253	74114
472	66458	74045
473	66663	73976
474	66873	73912
475	67095	73860
476	67290	73779
477	67483	73695
478	67670	73604
479	67865	73521
480	68066	73444
481	68316	73419
482	68529	73353
483	68719	73263
484	68912	73175
485	69099	73080
486	69294	72994
487	69482	72899
488	69692	72827
489	69888	72740
490	70090	72659
491	70286	72571
492	70478	72479
493	70767	72486
494	71014	72449
495	71194	72342
496	71429	72291
497	71622	72197
498	71830	72118
499	72030	72030
500	72218	71930
501	72405	71828
502	72611	71745
503	72806	71651
504	72990	71544
505	73204	71468
506	73396	71369
507	73587	71269
508	73784	71175
509	73976	71075
510	74177	70983
511	74363	70878
512	74587	70807
513	74801	70726
514	74999	70630
515	75197	70533
516	75384	70427
517	75581	70328
518	75811	70260
519	76011	70164
520	76213	70069
521	76406	69966
522	76612	69873
523	76797	69762
524	76990	69657
525	77181	69551
526	77384	69455
527	77582	69354
528	77782	69254
529	77981	69153
530	78201	69071
531	78403	68971
532	78597	68864
533	78783	68750
534	78969	68637
535	79211	68570
536	79453	68504
537	79664	68410
538	79871	68312
539	80078	68214
540	80279	68111
541	80517	68038
542	80747	67958
543	80945	67851
544	81154	67752
545	81350	67642
546	81543	67530
547	81752	67430
548	81945	67317
549	82147	67211
550	82333	67092
551	82536	66985
552	82746	66885
553	82937	66769
554	83126	66650
555	83333	66546
556	83536	66439
557	83732	66325
558	83922	66207
559	84127	66100
560	84337	65996
561	84530	65879
562	84723	65761
563	84917	65645
564	85110	65527
565	85314	65418
566	85504	65297
567	85692	65174
568	85878	65050
569	86076	64935
570	86272	64818
571	86463	64696
572	86657	64577
573	86884	64482
574	87117	64390
575	87318	64275
576	87523	64164
577	87732	64054
578	87939	63942
579	88134	63821
580	88321	63694
581	88534	63586
582	88736	63470
583	88930	63347
584	89138	63235
585	89342	63119
586	89567	63017
587	89770	62900
588	89971	62781
589	90179	62666
590	90363	62535
591	90562	62414
592	90761	62293
593	90954	62167
594	91154	62046
595	91357	61926
596	91574	61816
597	91772	61693
598	91978	61575
599	92188	61459
600	92383	61332
601	92571	61201
602	92783	61086
603	93014	60983
604	93203	60851
605	93427	60743
606	93680	60652
607	93913	60549
608	94125	60432
609	94337	60313
610	94534	60186
611	94755	60073
612	94960	59950
613	95156	59821
614	95337	59682
615	95448	59500
616	95553	59314
617	95644	59120
618	95748	58933
619	95839	58740
620	95952	58560
621	96060	58377
622	96173	58198
623	96271	58009
624	96364	57818
625	96445	57620
626	96574	57451
627	96718	57291
628	96837	57117
629	96969	56950
630	97070	56765
631	97204	56600
632	97336	56433
633	97464	56265
634	97589	56094
635	97671	55899
636	97811	55738
637	97901	55549
638	97992	55360
639	98079	55169
640	98155	54973
641	98259	54792
642	98399	54632
643	98513	54457
644	98602	54269
645	98687	54079
646	98772	53889
647	98854	53698
648	98966	53524
649	99059	53339
650	99176	53168
651	99278	52989
652	99400	52820
653	99550	52667
654	99645	52484
655	99751	52308
656	99862	52135
657	99966	51958
658	100072	51782
659	100161	51598
660	100245	51412
661	100366	51244
662	100490	51079
663	100591	50901
664	100668	50712
665	100757	50529
666	100873	50361
667	100992	50194
668	101074	50008
669	101156	49823
670	101241	49639
671	101329	49458
672	101410	49273
673	101504	49095
674	101608	48922
675	101713	48750
676	101786	48562
677	101903	48396
678	102019	48230
679	102098	48046
680	102192	47869
681	102281	47691
682	102370	47513
683	102445	47328
684	102523	47145
685	102608	46966
686	102698	46789
687	102779	46609
688	102861	46429
689	102957	46256
690	103043	46078
691	103131	45902
692	103212	45723
693	103295	45545
694	103377	45367
695	103469	45193
696	103585	45030
697	103672	44855
698	103755	44678
699	103840	44502
700	103918	44324
701	103996	44146
702	104075	43969
703	104156	43793
704	104252	43623
705	104334	43447
706	104419	43274
707	104533	43112
708	104622	42941
709	104719	42772
710	104813	42603
711	104902	42432
712	105006	42267
713	105094	42096
714	105186	41927
715	105276	41757
716	105363	41586
717	105450	41416
718	105551	41251
719	105644	41083
720	105730	40913
721	105805	40739
722	105890	40569
723	105974	40399
724	106062	40230
725	106170	40070
726	106258	39901
727	106342	39732
728	106422	39561
729	106498	39389
730	106586	39222
731	106707	39067
732	106792	38899
733	106884	38734
734	106978	38570
735	107073	38406
736	107155	38238
737	107232	38068
738	107314	37901
739	107392	37732
740	107476	37566
741	107561	37400
742	107642	37232
743	107735	37070
744	107818	36904
745	107901	36738
746	107995	36576
747	108082	36412
748	108176	36251
749	108263	36087
750	108343	35922
751	108442	35762
752	108527	35599
753	108604	35433
754	108707	35275
755	108792	35113
756	108875	34949
757	108966	34788
758	109047	34625
759	109143	34466
760	109226	34303
761	109316	34143
762	109422	33988
763	109504	33826
764	109579	33661
765	109656	33498
766	109736	33335
767	109815	33173
768	109891	33010
769	109970	32848
770	110050	32686
771	110126	32524
772	110213	32365
773	110299	32206
774	110387	32047
775	110492	31894
776	110573	31734
777	110650	31573
778	110729	31413
779	110809	31254
780	110892	31095
781	110982	30938
782	111070	30781
783	111157	30625
784	111246	30468
785	111332	30312
786	111429	30158
787	111509	30000
788	111594	29843
789	111678	29686
790	111756	29528
791	111842	29372
792	111930	29217
793	112013	29061
794	112095	28905
795	112177	28749
796	112269	28595
797	112356	28441
798	112442	28286
799	112541	28135
800	112619	27979
801	112688	27820
802	112792	27671
803	112873	27516
804	112954	27361
805	113033	27206
806	113113	27051
807	113197	26898
808	113302	26750
809	113387	26597
810	113491	26448
811	113569	26294
812	113658	26142
813	113767	25995
814	113853	25844
815	113935	25691
816	114024	25540
817	114113	25389
818	114196	25237
819	114286	25087
820	114367	24935
821	114462	24786
822	114541	24634
823	114638	24485
824	114722	24335
825	114801	24183
826	114882	24032
827	114977	23884
828	115066	23735
829	115165	23588
830	115263	23440
831	115355	23292
832	115443	23144
833	115539	22996
834	115632	22849
835	115719	22700
836	115800	22551
837	115894	22404
838	115988	22257
839	116078	22110
840	116160	21961
841	116238	21812
842	116316	21662
843	116394	21513
844	116490	21368
845	116574	21220
846	116673	21075
847	116755	20927
848	116842	20781
849	116920	20632
850	116999	20485
851	117113	20343
852	117198	20197
853	117285	20051
854	117366	19904
855	117452	19758
856	117550	19614
857	117635	19468
858	117716	19322
859	117801	19177
860	117879	19030
